17-01-2022 10:01:08 || login || {"name":"maxence.martin@protonmail.com","succes":true} 
17-01-2022 10:02:03 || login || {"name":"maxence.martin@protonmail.com","succes":true} 
17-01-2022 10:07:05 || login || {"name":"max","succes":true} 
17-01-2022 10:10:08 || login || {"name":"max","succes":true} 
17-01-2022 13:01:12 || login || {"name":"max","succes":true} 
17-01-2022 21:36:39 || getMap || {"name":"Risorgimento","url":"files/max/Risorgimento.json"} 
17-01-2022 21:43:39 || renameMap || {"name":"max","oldFileUrl":"files/max/Risorgimento.json","newFileUrl":"files/max/Risorgimento2.json","new_name":"Risorgimento2","id":17} 
17-01-2022 21:54:36 || getMap || {"name":"Risorgimento2","url":"files/max/Risorgimento2.json"} 
17-01-2022 21:59:55 || saveMap || {"name":"max","fileUrl":"files/max/risorgimento2.json"} 
17-01-2022 22:00:08 || saveMap || {"name":"max","fileUrl":"files/max/risorgimento2.json"} 
17-01-2022 22:00:15 || getMap || {"name":"Risorgimento2","url":"files/max/Risorgimento2.json"} 
17-01-2022 22:00:50 || getMap || {"name":"Risorgimento2","url":"files/max/Risorgimento2.json"} 
17-01-2022 22:01:25 || saveMap || {"name":"max","fileUrl":"files/max/risorgimento2.json"} 
17-01-2022 22:01:38 || getMap || {"name":"Risorgimento2","url":"files/max/Risorgimento2.json"} 
17-01-2022 22:01:42 || getMap || {"name":"Risorgimento2","url":"files/max/Risorgimento2.json"} 
17-01-2022 22:04:37 || delete || {"name":"max","mapId":19,"fileUrl":"files/max/Risorgimento2.json"} 
17-01-2022 22:04:46 || getMap || {"name":"Guerre civile espagnole","url":"files/max/Guerre_civile_espagnole.json"} 
17-01-2022 22:05:05 || saveMap || {"name":"max","fileUrl":"files/max/Guerre_Civile_Espagnole.json"} 
17-01-2022 22:07:02 || getMap || {"name":"Guerre civile espagnole","url":"files/max/Guerre_civile_espagnole.json"} 
17-01-2022 22:07:09 || getMap || {"name":"Guerre civile espagnole","url":"files/max/Guerre_civile_espagnole.json"} 
17-01-2022 22:07:16 || saveMap || {"name":"max","fileUrl":"files/max/Guerre_civile_espagnole.json"} 
17-01-2022 22:07:46 || getMap || {"name":"Guerre civile espagnole","url":"files/max/Guerre_civile_espagnole.json"} 
